PlayerName,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum,Position,Season,Age,Team
Allen Iverson,94,84,171,89,PG,2005,29,PHI
Andrei Kirilenko,89,91,173,91,PF,2004,22,UTA
Anthony Davis,93,97,177,93,PF,2015,21,NOP
Chris Paul,95,91,178,94,PG,2008,22,NOH
DeMarcus Cousins,88,93,170,89,C,2015,24,SAC
Derrick Rose,94,84,171,89,PG,2011,22,CHI
Dirk Nowitzki,94,90,175,92,PF,2005,26,DAL
Dwight Howard,90,97,176,92,C,2011,25,ORL
Dwyane Wade,92,88,175,92,SG,2010,28,MIA
Elton Brand,92,90,173,91,PF,2006,26,LAC
Giannis Antetokounmpo,95,93,179,94,PF,2022,27,MIL
James Harden,97,89,179,94,PG,2019,29,HOU
Jimmy Butler,90,88,172,90,SF,2017,27,CHI
Joel Embiid,94,91,177,93,C,2022,27,PHI
Kawhi Leonard,91,90,175,92,SF,2017,25,SAS
Kevin Durant,95,93,178,94,SF,2013,24,OKC
Kevin Garnett,96,94,182,96,PF,2004,27,MIN
Kobe Bryant*,97,84,173,91,SG,2006,27,LAL
LeBron James,97,92,182,96,SF,2010,25,CLE
Luka Dončić,92,89,173,91,PG,2022,22,DAL
Nikola Jokić,97,97,183,96,C,2022,26,DEN
Paul George,88,92,172,90,SF,2019,28,OKC
Paul Millsap,83,96,171,89,PF,2016,30,ATL
Rudy Gobert,84,97,170,89,C,2021,28,UTA
Russell Westbrook,97,91,181,95,PG,2017,28,OKC
Stephen Curry,97,88,178,94,PG,2016,27,GSW
Tim Duncan*,91,92,176,92,PF,2004,27,SAS
Tracy McGrady*,93,89,173,91,SF,2005,25,HOU
Victor Oladipo,88,92,170,89,SG,2018,25,IND
